Country_Name,Country_Code,Indicator_Name,Indicator_Code,Year_2003,Year_2004,Year_2005,Year_2006,Year_2007,Year_2008,Year_2009,Year_2010,Year_2011,Year_2012,Year_2013,Year_2014,Year_2015,Year_2016,Year_2017,Year_2018,Year_2019,Year_2020,Year_2021
Morocco,MAR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.17110214953244,4.57138016516208,3.19224973015831,7.7908200104027,3.44106776690418,5.68453936284732,3.74576940136258,3.49955709403216,5.52464523319847,3.06234368502997,4.12221286860944,2.7192440802029,4.34458297635238,0.52118550608968,5.05789816173446,3.06564133025955,2.89097476137077,-7.17820744246774,8.02098437000988
Finland,FIN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.00378420285061,3.99209129032087,2.77985055556123,4.02740965802573,5.29933650739021,0.783995060876521,-8.0744474323113,3.18595865407703,2.54766483842627,-1.39754572817782,-0.901696316194844,-0.364908156882066,0.543659211765487,2.81145776663433,3.19240962968416,1.1397180134305,1.22474892206223,-2.35496515679442,2.83817960418034
Greenland,GRL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.43004572118211,6.90658283676629,4.98749177090193,5.55569490080012,2.3524379811805,6.1661327018619,0.865952328886948,1.73582505889665,-0.496519391959083,1.39419335955625,-1.29828069335511,4.7421356730152,-2.52931802394475,4.68195410972302,0.0527281828800312,0.62306542854094,2.83217756798683,0.187608793759281,1.29021048770599
European Union,EUU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.908252360866641,2.59250680958249,1.92474300907963,3.49444551574788,3.15612152498106,0.641259951664836,-4.34869986052647,2.22511838510061,1.9009568406489,-0.701866418422895,-0.082642393429694,1.60065250159793,2.30937774489288,1.97230777572166,2.84476536928575,2.06690196954229,1.80531197138112,-5.65285689951504,6.00872929242561
Eswatini,SWZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.88021358597126,3.62391422596625,5.99877654987925,5.9921668378351,4.43537557686975,0.821663913800052,1.56504885243515,3.79375496828149,2.247229761068,5.39663069666727,3.86121379766622,0.923230547144357,2.22748067532406,1.06261019342853,2.0265781557498,2.38009549534866,2.69216827271678,-1.55964258999499,10.6836938787079
Jamaica,JAM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.66631759279021,1.32372509977827,0.893797935945003,2.89912534958872,1.43195403665118,-0.811736703280815,-4.3453018579464,-1.45714720947502,1.73037626746921,-0.613636039869121,0.5176860128024,0.689822357374339,0.92148712538031,1.37522306445538,0.997123062335191,1.88992368121086,0.892291653822227,-9.92032245054413,4.60142450033383
High income,HIC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.3052217806046,3.51338885161896,2.9745387366886,3.22028728970081,2.85667247349559,0.675885063107501,-3.37852833748032,3.0483401750343,2.01785170589382,1.47288810559398,1.59795707356696,2.14176816474907,2.32552627513027,1.8330409085689,2.47631841025758,2.36999444408524,1.84582706522258,-3.91466926056485,5.58436815582274
Caribbean small states,CSS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.84936679665981,2.82340921442344,3.28061978937919,4.45625279922749,3.30016125951357,0.54217939444186,-2.59982014513834,0.991500471284184,1.71684568192545,2.32803241515643,0.0738276299494487,1.76382445945195,0.697970065643204,0.471963597496924,1.94326028621741,2.89116347683975,1.02465322343599,-9.19346279301007,10.4440323505071
Middle income,MIC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.88468877373427,7.69091134345234,7.33050915841041,8.25324132040579,8.88196201680758,5.91964385033339,3.97185492021785,8.18128187806609,6.49464778589891,5.64053416588229,5.64324830563687,5.17096472145879,4.82622585789552,4.80523435213244,5.3758266172181,5.01414838235704,4.08317549770597,-1.21272096176956,7.5062161584262
Paraguay,PRY,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.32074548551591,4.05741836363771,2.13349066459601,4.80711719268376,5.42162287218235,6.4962921197091,-0.261137328080281,11.0952312685521,4.28637120702282,-0.708043112316886,8.29307648940471,5.30123859237025,2.95715173487106,4.26802583314583,4.81007885554041,3.20425034076639,-0.40185510068001,-0.819785390971916,4.01673731780312
Papua New Guinea,PNG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.16410250222083,2.72117574098235,6.34479592309654,5.40994409107307,7.81518922862388,-0.296457845880582,6.80042148322096,10.1284540720232,1.10754362619616,4.65711959686239,3.82494632800675,13.5437706216546,6.57835632304275,5.48957315278187,3.53461081750459,-0.279252284959952,4.48043062171888,-3.16738117629639,-0.780328729320829
